Nodo_2 13:14:48.219769 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:48.219769 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:48.220765 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:48.220765 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:48.335818 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:48.335818 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:48.336815 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:48.336815 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:48.451767 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:48.451767 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:48.452267 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:48.452267 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:48.573145 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:48.573145 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:48.574143 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:48.574143 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:48.688914 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:48.688914 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:48.689910 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:48.689910 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:48.805131 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:48.805131 raft.go:501: Nodo 1 tiene hasta la entrada 0
